trial,n_classes,c_start,c_end,radius_closing,radius_opening,dice,hausdorff,score
195,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
180,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
181,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
182,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
183,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
184,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
185,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
186,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
187,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
188,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
189,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
190,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
191,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
192,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
193,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
194,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
196,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
203,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
210,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
209,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
208,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
207,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
206,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
205,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
204,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
202,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
201,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
199,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
198,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
197,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
211,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
60,5,0,1,1,2,0.4544259019501901,29.5296461204668,0.4248962558297233
71,5,0,1,1,2,0.4544259019501901,29.5296461204668,0.4248962558297233
76,3,0,0,4,2,0.4307734093841244,29.154759474226502,0.4016186499098979
110,3,0,0,5,2,0.4211222869242986,30.01666203960727,0.3911056248846913
