trial,window_size,k,polarity,radius_closing,radius_opening,dice,hausdorff,score
254,35,0.06781112376176744,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
253,37,0.09179082197385102,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
252,37,0.090116097599646,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
274,37,0.07060616830292724,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
275,35,0.1554277860837487,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
276,37,0.06904656755247966,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
277,41,0.09592880491195378,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
298,37,0.06212318831003333,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
297,37,0.09017785481123865,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
296,37,0.09108203414118822,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
295,41,0.09520178360068544,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
294,37,0.06297326526405848,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
293,37,0.0671911900776481,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
292,37,0.09120290285446382,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
291,37,0.06846648244901844,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
290,37,0.15930139774550298,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
289,37,0.09732957553352047,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
288,37,0.09775192100960389,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
287,37,0.07107657086808235,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
286,37,0.09132723897200727,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
285,37,0.08732951083491584,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
284,37,0.0917876118440329,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
283,37,0.0942982892050926,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
282,35,0.1581476191659497,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
281,37,0.17276253602499758,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
