trial,num_iter,smoothing,lambda1,lambda2,t_init,radius_closing,dice,hausdorff,score
182,20,1,3,1,27.871777213321963,1,0.9506991429860171,26.40075756488817,0.924298385421129
312,24,1,3,2,24.111917778070666,1,0.9502862976607928,26.0,0.9242862976607927
293,24,1,3,2,24.48621953090846,1,0.9502862976607928,26.0,0.9242862976607927
168,18,1,4,1,53.12887793775914,2,0.950686485873142,26.40075756488817,0.9242857283082538
263,24,1,3,1,26.136196112115147,1,0.9506562626854901,26.40075756488817,0.924255505120602
196,22,1,4,1,46.485977595670846,1,0.9506447511805304,26.40075756488817,0.9242439936156422
191,22,1,4,1,28.40525203617506,1,0.9506447511805304,26.40075756488817,0.9242439936156422
158,20,1,4,1,52.921833453176845,2,0.9506388579987745,26.40075756488817,0.9242381004338863
209,20,1,4,1,26.106788596131288,1,0.9505971030286519,26.40075756488817,0.9241963454637637
270,24,1,3,1,25.419590096138414,1,0.9505794291382964,26.40075756488817,0.9241786715734083
265,24,1,3,1,25.725341168784297,1,0.9505794291382964,26.40075756488817,0.9241786715734083
214,20,1,4,1,53.83774711612172,1,0.9505665432911737,26.40075756488817,0.9241657857262856
247,29,1,3,1,25.62001740762183,1,0.9505410279531109,26.40075756488817,0.9241402703882228
197,22,1,4,1,46.140695008169395,1,0.9504950495049505,26.40075756488817,0.9240942919400623
372,29,1,3,2,23.554106698592364,1,0.9500444049733571,26.0,0.924044404973357
398,25,1,3,2,23.358652760704096,1,0.9500444049733571,26.0,0.924044404973357
245,24,1,4,1,31.759807637346004,1,0.950423545976881,26.40075756488817,0.9240227884119928
163,29,1,4,1,31.649184310212505,1,0.950423545976881,26.40075756488817,0.9240227884119928
235,22,1,4,1,31.44973639092154,1,0.9503952030526029,26.40075756488817,0.9239944454877148
185,20,1,4,1,32.453637380257206,1,0.9503758715450478,26.40075756488817,0.9239751139801596
179,30,1,4,1,20.333859743575587,1,0.9503758715450478,26.40075756488817,0.9239751139801596
172,21,1,4,1,21.977244722859176,1,0.9503587973476246,26.40075756488817,0.9239580397827365
248,24,1,4,1,31.51030621366895,1,0.9503520327049739,26.40075756488817,0.9239512751400858
224,21,1,4,1,25.680003829952838,1,0.9503043517761425,26.40075756488817,0.9239035942112543
249,24,1,4,1,25.960550357059123,1,0.9503043517761425,26.40075756488817,0.9239035942112543
244,29,1,4,1,25.603096620673007,1,0.9501590186278964,26.40075756488817,0.9237582610630083
241,30,1,4,1,25.27610441824124,1,0.9501590186278964,26.40075756488817,0.9237582610630083
219,21,1,4,1,52.749808214318044,1,0.950155692433575,26.40075756488817,0.9237549348686869
215,20,1,4,1,48.390512888189406,1,0.950155692433575,26.40075756488817,0.9237549348686869
239,19,1,4,1,26.15844146545715,1,0.950103430247096,26.40075756488817,0.9237026726822078
