trial,mu,lambda1,lambda2,tol,max_num_iter,dice_slice
44,0.10547925008514414,0.6175326065637241,1.211767602570372,0.0009650768571059406,52,0.16798478326158775
255,0.16261765213489981,1.160593826895079,1.627879870631352,0.006533083805786196,28,0.16763236763236763
245,0.1578631924166095,1.1745086288720474,1.8031472085638822,0.0009637051254277526,27,0.16651781284112335
155,0.2072924820486428,1.1460543809121773,1.5935399239228558,0.0005406899718816477,42,0.16641872458593673
171,0.10403336456662116,0.7576665964770425,1.118087853513415,0.0015380247931988168,39,0.16612216612216613
206,0.22555507709849662,1.2368608912633574,1.5416957030106504,0.0006531869770482351,41,0.16425215348472982
194,0.05818458114411125,0.699415684940079,1.5580011730063303,0.0007244156291588679,39,0.16405944466171293
197,0.06290934773639842,0.7002063184871574,1.5485221759947807,0.0007453278203894643,38,0.16364345621220988
202,0.23409569986162349,1.2031076177784588,1.5393769759889642,0.0006726764375233456,41,0.16326133489005643
196,0.23934156742498094,1.2306092031201623,1.5531053792397826,0.0006746321562100888,42,0.1632454518922074
193,0.23371867636375823,1.180218666259171,1.5781176609245975,0.0006443072690509419,38,0.16305509668642504
186,0.05679333821143847,0.6682614619069496,1.5573502791452973,0.005847795450620265,39,0.1629917435648373
181,0.0831356646479865,0.7140186786809064,1.5502627699014817,0.005856576742373419,38,0.16173493975903613
254,0.1502267801459239,1.1627548963393126,1.263460939761762,0.0009296587159614206,53,0.16171935235158058
154,0.18913871305883984,1.0489761084719171,1.6663640644499225,0.0013789542013339596,40,0.16136166939128763
215,0.22598127226953418,1.2130673162433632,1.5769434217453475,0.006295722363776388,41,0.16040531497944746
203,0.23026943623240637,1.0402882326517446,1.5114354038477533,0.000684587525945034,42,0.15812287975876366
212,0.23457693290554327,1.2014360065824403,1.5488620137287465,0.005992981371860157,41,0.15645687645687645
27,0.14466064222396136,1.0498158683851961,1.4579371613538328,0.0007400924636324716,25,0.1563548266865449
157,0.2608354338133987,1.1166791106414602,1.6003721984000843,0.0012371777462181382,40,0.15584656821770224
192,0.23184684632603947,1.0042468454146387,1.5643695697670168,0.0015355683813011182,39,0.15427047899236923
214,0.22090321957094933,1.2110193132480556,1.534826460565974,0.0060465694823763115,29,0.1518552036199095
199,0.2202494935043639,1.019073834379266,1.56741952523966,0.006177614008137333,38,0.15099433096373616
217,0.22288360332773122,1.2009750863537505,1.574917978866558,0.006104233847281016,28,0.15056078959174518
221,0.2141597661111757,1.0276742006143793,1.543443846247427,0.0006778818349896365,29,0.1480631783287744
211,0.2267418441768141,1.1976123300558517,1.5597088610265255,0.006264243564252315,28,0.14699956197985106
210,0.23742279681958356,1.2247112853014814,1.5547394440289592,0.00597859331145485,29,0.14671679636268253
165,0.2429843088772377,0.9414291274870459,1.5844789040094396,0.0016067262176897577,39,0.14593842407375196
218,0.2432488858375228,1.1925627172753674,1.567103027041872,0.0007984712810826431,29,0.14565972222222223
208,0.22337111749528457,1.215870470363553,1.543856522228174,0.006115490002235934,28,0.14559053748477996
213,0.22087144589404706,1.2155049229185675,1.5139782630215892,0.0002172751014359686,28,0.14176829268292682
158,0.09090031429795437,0.5507506891339529,1.6118335971883635,0.00044407256822156935,40,0.14168707253229756
162,0.25563615832371667,0.9461620794363134,1.6073072988646941,0.000564243993301731,37,0.14116261462101456
220,0.2271559533834275,1.0274900314968543,1.5680577287390718,0.0007996087248862247,28,0.14098470845236094
159,0.12256386055139079,0.6055989201622773,1.5468134183735744,0.00044382250884463187,39,0.14085452866616302
253,0.16103803764548913,1.0340152967611722,1.6148971081075034,0.000972152526418117,22,0.13951941465037
200,0.24954644691900052,1.182776969681142,1.5677475945677053,0.005920234709455089,28,0.13914918318268513
67,0.2103924519965068,0.9905008193286519,1.6212250618126156,0.008962223782739094,54,0.1384945526576428
251,0.1633797190626076,1.0245914024075258,1.2690159587458132,0.0009885426691074687,27,0.1353164659283809
209,0.2368596218302201,1.2366760791221891,1.5377794057551737,0.00022031949866233624,27,0.13311068702290077
167,0.24053718694150306,0.926699511572686,1.0847177481079315,0.0003658855952633957,40,0.13113472960300093
258,0.16003718202271383,0.6682190368567337,1.6162645978720043,0.0009127597954771116,52,0.13102209729054423
229,0.22716933454625685,0.7372709505972475,1.2658053150811337,0.0007318497557959654,54,0.12882917466410748
151,0.1549340347878512,0.5297597302712955,1.1217844046208996,0.001304602320945766,44,0.1277892011271038
170,0.2343540034202644,0.7280462289159987,1.126116291924502,0.00036570758146752604,39,0.12737209655381812
184,0.23401061926198824,0.7337632578230594,1.2809326381895754,0.0007049818676652483,39,0.1271501098734561
230,0.22847513019685592,0.7305684967569155,1.2958769968903423,0.0006932296055115247,55,0.12600435533528573
71,0.16645587089240854,0.6418977179356669,1.3681578876527762,0.007820903209616682,29,0.12542043501009045
189,0.2168158173120379,0.7206865394531663,1.566301649821637,0.0006875310297023139,39,0.12521453622863965
18,0.18478304172324844,0.8158664051980392,1.0714414268940282,0.0075633333160400945,31,0.12495334776442488
169,0.24827657136596942,0.7765014167011355,1.554107007211139,0.00037858452014126557,39,0.12485119047619048
190,0.23185146411105037,0.7395650815902204,1.5482176943652466,0.0006944320298519161,40,0.12381022651811407
152,0.18147512489323248,1.0554284895750876,1.1504083101591251,0.0014544017482598626,42,0.12304299889746417
188,0.2327128254188232,0.7268585971540248,1.5345747679829327,0.0007253313317739087,41,0.12224083922197129
191,0.23139502491640213,0.7306903337387192,1.5906805242563742,0.0006822892689518836,40,0.1220985228843775
166,0.2473428752151443,0.9504130075447084,1.0713555134533483,0.00028739487421973806,38,0.12166193698610202
88,0.3565768936149206,1.0528038680611507,1.4841992176911247,0.00464767061099209,87,0.12112899732909839
168,0.2577179066282683,0.7618289495002882,1.5683802672243932,0.00036078902553677054,36,0.12107655675012627
257,0.16473488615299098,0.6712486034233746,1.2647602070382344,0.0009381257720306754,21,0.12105453232213796
34,0.15099316189169776,0.5135582682728332,0.7404230056948655,0.0003250925639862351,29,0.12097123861829744
201,0.223963267141082,0.7064156041482329,1.5423239932761679,0.006105123719749901,39,0.12096309111880046
198,0.22615599899311484,0.7100466788890796,1.5512611762822774,0.0006974712013517017,16,0.12010331467929401
224,0.22143092856279936,0.705077288989333,1.2785429642966244,0.006397379157527033,21,0.11998279816513761
185,0.24568691054525157,0.7240491369567078,1.549841219461357,0.000684589230788332,37,0.11989996427295463
100,0.06751192863053113,0.890360303118918,0.963263744197028,0.005404341799922063,48,0.11988747024453582
39,0.5897408974360735,0.8072136943473058,1.4210745379501235,0.008232216591615429,26,0.11904078116025273
183,0.23000923369307263,0.6928937700488154,1.5484277823877817,0.0007558676928739618,41,0.11886378125664093
187,0.24859217130295125,0.7147424857466957,1.5801638738152106,0.0057665345742298115,38,0.11881328329674998
150,0.20555071039181932,0.5709658216634648,1.1349615019663926,0.0004001890869716908,32,0.11877964182062717
127,0.8972870346499698,0.5727417780480377,1.3686238823895627,0.004962096495306364,61,0.11846295378954072
80,0.5245080767556103,1.3009626449157268,1.9654812040701097,0.004769450327129182,64,0.11844427189948471
11,0.8512250970005014,0.6163253867791978,1.3210527261477287,0.00044963823872103044,27,0.11829552681789272
75,0.6732670783683434,1.3853174256737357,1.6999102988050927,0.0030258088827084867,44,0.1182803314682343
51,0.9973872241827884,1.404939752556377,1.903162664968768,0.003228004773911724,73,0.1181721572794899
12,0.8073308514054806,0.7989882762335767,1.4331793636149752,0.004431183118799024,81,0.11806192256153467
7,0.7426637741885854,1.2499953834123487,1.808929923019455,0.003957610480211862,92,0.11793715654501902
133,0.7730670607076028,1.1485932322710273,1.3568331788569072,0.002498111562480713,86,0.11759644342463789
223,0.23719519068503403,1.2039121927939176,1.5136100797616752,0.006249452337511542,21,0.11751808813856611
60,0.47545866245055635,0.8497055062615997,1.1776702207846619,0.002102296784525136,33,0.11726795096322241
149,0.193673315239892,0.5061144974325004,1.1294347888708571,0.0005732308278169156,35,0.11704799107142858
138,0.79644089497388,1.3297770690968251,1.5613734685774912,0.00017189498727050923,40,0.11698852504897846
17,0.8469815931937854,0.9297997090503103,1.9777972838088056,0.00017424620574665195,17,0.11647109952194698
79,0.9922931417093624,0.7849958341654962,1.8391743754726733,0.00431733657237547,100,0.11630653790036824
106,0.869400384872804,0.8980211215876148,1.914583950169942,0.004418075270544769,70,0.11626940133037694
137,0.8144413057141647,1.3313136461016215,1.683563668134909,0.00011268500403706977,39,0.11604426002766252
147,0.8544068871771568,0.5232262127008837,1.1760468145249126,0.0004399789534185047,33,0.11584185789328172
207,0.2535499651646514,1.0129734283955234,1.558152560431335,0.0007523715729061421,15,0.11574208539064769
98,0.23896248320053914,0.5837192159027536,1.473497707188156,0.0004543710040150648,31,0.11566829806300406
45,0.6875115198193307,0.9764127421536428,1.1501053966044494,0.00019666113283456116,46,0.11562047819196582
62,0.9249220994092064,1.1258343307965895,1.7538275958454066,0.007425077367860617,44,0.11550724637681159
146,0.8613904525344093,0.5216057851549754,1.2225542685445978,0.00040278696548553687,34,0.11538990510246183
38,0.9734291386868211,1.1855702580510714,1.7709217003248559,0.0066479532018922155,36,0.11521739130434783
101,0.7217142471168858,0.500832883002051,0.6332875799676416,0.0007254931840608524,57,0.11502476609796368
164,0.24315754243254128,0.6753007293322776,1.5448566894827145,0.0005720427643067833,43,0.11450798416814521
248,0.15680217343301925,1.2091889468256825,1.2977577489636953,0.0009458881949517917,52,0.11432854125502487
139,0.7785575799916808,0.5772187878391475,1.5190042403645547,0.00020796942203677295,35,0.11381672658210676
163,0.25044742441405227,0.5148138224894323,1.1195495043901569,0.00047298256779271724,39,0.11353948169700251
9,0.661316080102148,1.2895387456096392,1.8659198777990837,0.0002819411832649835,44,0.11350876006223365
145,0.43188589694549834,0.5376084129927174,1.568885909829307,0.0003920286169906319,33,0.1132024556432571
52,0.8991562948693294,1.4581354313863615,1.621616525536264,0.00018251663944938705,35,0.11317469529889727
144,0.4180083930664905,0.5307831796201641,1.5751514489588145,0.002210322797517993,33,0.11309563928017793
250,0.1611058112931006,1.0280443486641004,1.2588075714370859,0.0009315586764254683,21,0.11307008596823546
