trial,t_low,t_high,radius,dice,hausdorff,score
435,2.0216837479846332,76.5010527157034,2,0.9721436683070208,26.0,0.9461436683070208
453,2.1391809203330645,76.29635562738378,2,0.9721436683070208,26.0,0.9461436683070208
461,2.2805304925494205,76.44014178998597,2,0.9721436683070208,26.0,0.9461436683070208
460,2.372421541868611,76.37990026234786,2,0.9721436683070208,26.0,0.9461436683070208
459,2.038835896692756,76.64057836011672,2,0.9721436683070208,26.0,0.9461436683070208
457,2.0696783451943874,76.57797398023492,2,0.9721436683070208,26.0,0.9461436683070208
456,2.0645833003197245,76.12635780864223,2,0.9721436683070208,26.0,0.9461436683070208
455,2.183818306876582,76.6403291523369,2,0.9721436683070208,26.0,0.9461436683070208
454,2.010580861692472,76.14565462392973,2,0.9721436683070208,26.0,0.9461436683070208
450,2.4226095854993535,76.16376430954078,2,0.9721436683070208,26.0,0.9461436683070208
452,2.12555162004519,76.71046081209552,2,0.9721436683070208,26.0,0.9461436683070208
439,2.035864204895902,76.0248778514829,2,0.9721436683070208,26.0,0.9461436683070208
423,2.187671365401925,76.96764978536038,2,0.9721436683070208,26.0,0.9461436683070208
447,2.0978460990806322,76.46302750506328,2,0.9721436683070208,26.0,0.9461436683070208
465,2.5881325728153715,76.43428746521208,2,0.9721436683070208,26.0,0.9461436683070208
429,2.1067346848307884,76.04406166469037,2,0.9721436683070208,26.0,0.9461436683070208
430,2.102188780259352,76.40398938643881,2,0.9721436683070208,26.0,0.9461436683070208
443,2.1113090835776553,76.44232146339712,2,0.9721436683070208,26.0,0.9461436683070208
433,2.010616180194345,76.31151235533513,2,0.9721436683070208,26.0,0.9461436683070208
464,2.0812754295531306,76.47410341526306,2,0.9721436683070208,26.0,0.9461436683070208
500,2.7426202825742116,76.22291356402614,2,0.9721436683070208,26.0,0.9461436683070208
466,2.3156641725496154,76.40235650078411,2,0.9721436683070208,26.0,0.9461436683070208
481,2.190024708523346,76.46230796157536,2,0.9721436683070208,26.0,0.9461436683070208
505,2.768408228033116,76.81559663343243,2,0.9721436683070208,26.0,0.9461436683070208
502,2.827283012403912,76.95675242672283,2,0.9721436683070208,26.0,0.9461436683070208
501,2.715869404713677,76.91218792720507,2,0.9721436683070208,26.0,0.9461436683070208
497,2.6547640723206944,76.00928814530543,2,0.9721436683070208,26.0,0.9461436683070208
496,2.540236825874229,76.03544281508265,2,0.9721436683070208,26.0,0.9461436683070208
467,2.64523805236874,76.97644915517967,2,0.9721436683070208,26.0,0.9461436683070208
493,2.7589310290287563,76.69496549983424,2,0.9721436683070208,26.0,0.9461436683070208
489,2.607125500750648,76.27208906326977,2,0.9721436683070208,26.0,0.9461436683070208
488,2.7374313621094775,76.5964268705125,2,0.9721436683070208,26.0,0.9461436683070208
487,2.6098409120144344,76.51428038505313,2,0.9721436683070208,26.0,0.9461436683070208
486,2.6964387344802248,76.96372336645106,2,0.9721436683070208,26.0,0.9461436683070208
482,2.721245591232688,76.49856654765426,2,0.9721436683070208,26.0,0.9461436683070208
495,2.7489619264204284,76.9374513135105,2,0.9721436683070208,26.0,0.9461436683070208
473,2.6218078297928504,76.68685371032747,2,0.9721436683070208,26.0,0.9461436683070208
470,2.1137036570582772,76.78033608174492,2,0.9721436683070208,26.0,0.9461436683070208
477,2.863586860142081,76.81349331335161,2,0.9721436683070208,26.0,0.9461436683070208
472,2.1443413885694014,76.54023580743119,2,0.9721436683070208,26.0,0.9461436683070208
476,2.948485795182356,76.17264860551116,2,0.9721436683070208,26.0,0.9461436683070208
475,2.6025428328477425,76.90715955551929,2,0.9721436683070208,26.0,0.9461436683070208
474,2.2616509984808593,76.51393295943745,2,0.9721436683070208,26.0,0.9461436683070208
411,1.7017850574682085,74.37639485873284,2,0.97159673607705,26.0,0.94559673607705
417,1.8943989464332938,74.02406148213443,2,0.97159673607705,26.0,0.94559673607705
458,1.947151845225334,74.55856466471863,2,0.97159673607705,26.0,0.94559673607705
434,1.978077067057654,74.66374993396742,2,0.97159673607705,26.0,0.94559673607705
425,1.9719515420765852,74.35155919470098,2,0.97159673607705,26.0,0.94559673607705
405,1.8593306174715774,74.23937048424412,2,0.97159673607705,26.0,0.94559673607705
451,1.9954946129453721,74.84015773739367,2,0.97159673607705,26.0,0.94559673607705
401,1.6853411438689685,74.72691697476793,2,0.97159673607705,26.0,0.94559673607705
395,1.915694617121694,74.29333137927877,2,0.97159673607705,26.0,0.94559673607705
528,3.035394333227796,77.76375784634668,2,0.9711191335740073,26.0,0.9451191335740072
539,3.0674181862626297,77.62172688089865,2,0.9711191335740073,26.0,0.9451191335740072
519,3.129276338963537,77.50783542666052,2,0.9711191335740073,26.0,0.9451191335740072
513,3.200104776181962,77.71984580822867,2,0.9711191335740073,26.0,0.9451191335740072
463,2.0904461210356375,75.85539391292288,2,0.9705797069123191,26.0,0.9445797069123191
479,2.1207991244901923,75.52995332665527,2,0.9705797069123191,26.0,0.9445797069123191
478,2.259012324754329,75.52735049670484,2,0.9705797069123191,26.0,0.9445797069123191
462,2.2961820000959365,75.95915833738627,2,0.9705797069123191,26.0,0.9445797069123191
485,2.776821647538603,75.2510265576211,2,0.9705797069123191,26.0,0.9445797069123191
448,2.089659506306094,75.75822453728588,2,0.9705797069123191,26.0,0.9445797069123191
480,2.1096172849968484,75.44194512884667,2,0.9705797069123191,26.0,0.9445797069123191
469,2.496457745068149,75.52123446524877,2,0.9705797069123191,26.0,0.9445797069123191
436,2.1519876401129405,75.14461140005338,2,0.9705797069123191,26.0,0.9445797069123191
437,2.041605825462612,75.71123959880835,2,0.9705797069123191,26.0,0.9445797069123191
468,2.3221321720468824,75.94090245970276,2,0.9705797069123191,26.0,0.9445797069123191
446,2.1423446201192196,75.52428519522823,2,0.9705797069123191,26.0,0.9445797069123191
393,1.900798710947833,73.7498073264264,2,0.9703761580533542,26.0,0.9443761580533542
396,1.856677032169646,73.18531389400347,2,0.9703761580533542,26.0,0.9443761580533542
